ID,AGE,JOB,MARITAL,EDUCATION,
2968,37,technician,single,secondary,
2969,55,admin.,single,secondary,
2970,28,unemployed,single,tertiary,
2971,23,blue-collar,married,secondary,
2972,32,technician,single,secondary,
2973,43,services,single,unknown,
2974,32,blue-collar,married,secondary,
2975,46,blue-collar,married,secondary,
2976,53,housemaid,divorced,primary,
2977,34,self-employed,single,secondary,
2978,57,unemployed,married,tertiary,
2979,37,blue-collar,married,secondary,
2980,59,blue-collar,married,secondary,
2981,33,services,married,secondary,
2982,56,blue-collar,divorced,primary,
2983,48,unemployed,married,secondary,
2984,43,services,married,primary,
2985,54,blue-collar,married,primary,
2986,51,blue-collar,married,unknown,
2987,26,student,single,secondary,
2988,40,management,married,tertiary,
2989,39,management,married,secondary,
2990,50,technician,married,primary,
2991,41,services,married,secondary,
2992,51,blue-collar,married,unknown,
2993,60,retired,divorced,secondary,
2994,52,blue-collar,married,secondary,
2995,48,blue-collar,married,secondary,
2996,48,services,married,unknown,
2997,39,technician,single,tertiary,
2998,47,services,single,secondary,
2999,40,blue-collar,married,secondary,
3000,45,technician,married,secondary,
3001,26,admin.,single,secondary,
3002,52,management,married,tertiary,
3003,54,technician,married,secondary,
3004,54,admin.,married,tertiary,
3005,50,blue-collar,married,primary,
3006,35,blue-collar,married,secondary,
3007,44,services,married,secondary,
3008,53,entrepreneur,married,unknown,
3009,35,retired,single,primary,
3010,60,admin.,divorced,secondary,
3011,53,admin.,divorced,secondary,
3012,48,unemployed,married,secondary,
3013,34,technician,married,secondary,
3014,54,services,married,secondary,
3015,51,management,married,secondary,
3016,31,services,married,tertiary,
3017,35,technician,divorced,secondary,
3018,35,services,married,secondary,
3019,38,technician,married,secondary,
3020,36,admin.,married,tertiary,
3021,58,retired,married,primary,
3022,40,services,divorced,unknown,
3023,54,management,married,secondary,
3024,34,blue-collar,single,secondary,
3025,31,management,single,tertiary,
3026,51,retired,married,secondary,
3027,33,management,married,tertiary,
3028,55,management,married,tertiary,
3029,42,admin.,married,secondary,
3030,34,blue-collar,married,secondary,
3031,33,blue-collar,single,secondary,
3032,38,services,married,secondary,
3033,50,technician,divorced,tertiary,
3034,43,management,married,tertiary,
3035,61,blue-collar,divorced,primary,
3036,47,admin.,married,secondary,
3037,48,self-employed,married,tertiary,
3038,44,blue-collar,married,secondary,
3039,35,student,single,unknown,
3040,35,services,married,secondary,
3041,50,services,married,secondary,
3042,41,management,married,tertiary,
3043,41,management,married,tertiary,
3044,39,services,single,unknown,
3045,42,retired,married,secondary,
3046,38,blue-collar,married,secondary,
3047,53,retired,married,secondary,
3048,59,housemaid,divorced,primary,
3049,36,services,married,secondary,
3050,54,blue-collar,married,primary,
3051,40,technician,married,tertiary,
3052,47,unknown,married,unknown,
3053,53,unemployed,married,unknown,
3054,46,housemaid,married,primary,
3055,39,management,married,tertiary,
3056,40,unemployed,married,secondary,
3057,28,blue-collar,married,primary,
3058,35,entrepreneur,divorced,secondary,
3059,55,retired,married,secondary,
3060,43,technician,divorced,unknown,
3061,48,blue-collar,married,primary,
3062,58,management,married,unknown,
3063,33,management,single,tertiary,
3064,36,blue-collar,married,unknown,
3065,53,services,divorced,secondary,
3066,47,blue-collar,married,primary,
3067,31,services,married,secondary,
3068,57,entrepreneur,married,secondary,
3069,53,blue-collar,married,unknown,
3070,55,blue-collar,married,primary,
3071,45,blue-collar,married,primary,
3072,53,admin.,divorced,secondary,
3073,37,blue-collar,married,primary,
3074,44,admin.,divorced,secondary,
3075,49,blue-collar,divorced,primary,
3076,46,technician,married,secondary,
3077,43,entrepreneur,married,unknown,
3078,38,admin.,married,secondary,
3079,43,technician,married,secondary,
3080,49,management,married,tertiary,
3081,42,management,married,unknown,
3082,22,blue-collar,single,secondary,
3083,40,management,married,tertiary,
3084,39,blue-collar,married,secondary,
3085,51,services,married,secondary,
3086,49,admin.,married,secondary,
3087,53,blue-collar,married,secondary,
3088,34,services,single,secondary,
3089,33,technician,divorced,secondary,
3090,50,management,single,tertiary,
3091,39,blue-collar,married,primary,
3092,59,entrepreneur,divorced,secondary,
3093,30,technician,single,secondary,
3094,36,services,married,secondary,
3095,40,blue-collar,married,secondary,
3096,53,blue-collar,married,secondary,
3097,34,management,single,tertiary,
3098,37,technician,married,secondary,
3099,42,management,divorced,tertiary,
3100,41,entrepreneur,married,primary,
3101,30,student,single,tertiary,
3102,37,management,single,tertiary,
3103,39,admin.,divorced,secondary,
3104,41,blue-collar,married,primary,
3105,40,blue-collar,married,primary,
3106,42,management,single,tertiary,
3107,40,blue-collar,divorced,primary,
3108,57,technician,married,secondary,
3109,56,entrepreneur,divorced,secondary,
3110,37,admin.,married,secondary,
3111,59,retired,married,secondary,
3112,39,services,divorced,secondary,
3113,49,services,married,secondary,
3114,38,services,single,secondary,
3115,36,self-employed,married,tertiary,
3116,50,blue-collar,married,primary,
3117,41,admin.,married,secondary,
3118,54,technician,married,tertiary,
3119,58,blue-collar,married,primary,
3120,30,blue-collar,single,secondary,
3121,33,admin.,single,secondary,
3122,47,admin.,married,secondary,
3123,50,technician,single,tertiary,
3124,32,blue-collar,married,secondary,
3125,40,self-employed,married,secondary,
3126,37,management,married,tertiary,
3127,54,technician,single,unknown,
3128,24,student,single,secondary,
3129,54,management,married,tertiary,
3130,34,technician,married,secondary,
3131,56,technician,divorced,primary,
3132,31,blue-collar,single,secondary,
3133,24,student,single,secondary,
3134,42,blue-collar,divorced,primary,
3135,57,technician,married,secondary,
3136,42,blue-collar,married,unknown,
3137,51,admin.,married,secondary,
3138,57,retired,married,secondary,
3139,36,services,single,secondary,
3140,53,services,married,unknown,
3141,50,technician,married,secondary,
3142,54,management,married,tertiary,
3143,55,blue-collar,married,secondary,
3144,44,blue-collar,married,secondary,
3145,43,management,married,unknown,
3146,56,admin.,married,secondary,
3147,54,technician,married,unknown,
3148,55,services,divorced,primary,
3149,37,services,divorced,secondary,
3150,33,admin.,single,tertiary,
3151,46,admin.,married,secondary,
3152,36,blue-collar,married,secondary,
3153,51,technician,single,secondary,
3154,40,retired,single,primary,
3155,42,blue-collar,married,secondary,
3156,51,blue-collar,married,secondary,
3157,49,blue-collar,married,unknown,
3158,48,management,married,secondary,
3159,32,technician,divorced,tertiary,
3160,31,admin.,single,secondary,
3161,55,management,single,tertiary,
3162,40,blue-collar,single,secondary,
3163,47,technician,married,tertiary,
3164,57,technician,married,unknown,
3165,41,blue-collar,married,secondary,
3166,48,blue-collar,married,secondary,
3167,42,blue-collar,married,unknown,
3168,30,blue-collar,single,secondary,
3169,58,management,single,tertiary,
3170,45,management,divorced,tertiary,
3171,49,blue-collar,married,secondary,
3172,42,admin.,single,secondary,
3173,53,technician,married,secondary,
3174,51,admin.,single,secondary,
3175,32,services,single,secondary,
3176,41,blue-collar,single,secondary,
3177,43,management,divorced,secondary,
3178,40,blue-collar,divorced,secondary,
3179,50,blue-collar,married,primary,
3180,34,management,married,tertiary,
3181,53,services,married,unknown,
3182,45,technician,married,secondary,
3183,39,blue-collar,married,primary,
3184,44,services,married,tertiary,
3185,55,management,married,tertiary,
3186,46,management,single,tertiary,
3187,45,blue-collar,married,secondary,
3188,34,admin.,married,secondary,
3189,36,blue-collar,married,secondary,
3190,59,unknown,divorced,unknown,
3191,31,admin.,single,secondary,
3192,44,blue-collar,single,secondary,
3193,33,entrepreneur,single,tertiary,
3194,40,blue-collar,married,secondary,
3195,46,admin.,single,tertiary,
3196,48,management,married,tertiary,
3197,42,services,married,secondary,
3198,27,services,married,secondary,
3199,48,admin.,married,secondary,
3200,59,admin.,married,secondary,
3201,46,technician,married,tertiary,
3202,38,admin.,divorced,secondary,
3203,43,management,divorced,tertiary,
3204,38,admin.,divorced,tertiary,
3205,23,student,single,secondary,
3206,34,services,married,secondary,
3207,38,admin.,married,secondary,
3208,37,blue-collar,married,secondary,
3209,25,admin.,single,secondary,
3210,48,blue-collar,married,unknown,
3211,49,blue-collar,single,secondary,
3212,38,admin.,single,secondary,
3213,43,blue-collar,married,primary,
3214,33,management,married,tertiary,
3215,55,blue-collar,married,secondary,
3216,38,blue-collar,married,secondary,
3217,49,services,married,secondary,
3218,40,management,married,secondary,
3219,43,admin.,married,unknown,
3220,38,blue-collar,married,secondary,
3221,58,services,married,secondary,
3222,57,technician,married,unknown,
3223,32,unemployed,married,secondary,
3224,56,management,married,tertiary,
3225,58,blue-collar,divorced,unknown,
3226,60,retired,divorced,secondary,
3227,37,technician,married,tertiary,
3228,46,technician,divorced,tertiary,
3229,27,admin.,married,secondary,
3230,43,blue-collar,married,secondary,
3231,32,technician,single,secondary,
3232,40,admin.,single,secondary,
3233,38,admin.,married,secondary,
3234,34,blue-collar,married,secondary,
3235,47,blue-collar,married,primary,
3236,42,housemaid,married,primary,
3237,48,technician,married,secondary,
3238,29,self-employed,single,tertiary,
3239,50,services,married,secondary,
3240,52,technician,married,unknown,
3241,50,management,married,tertiary,
3242,58,retired,married,tertiary,
3243,46,blue-collar,divorced,primary,
3244,38,technician,married,secondary,
3245,46,blue-collar,married,secondary,
3246,32,services,single,secondary,
3247,51,blue-collar,married,primary,
3248,39,admin.,single,secondary,
3249,48,admin.,married,secondary,
3250,36,entrepreneur,married,tertiary,
3251,34,admin.,divorced,secondary,
3252,40,technician,married,secondary,
3253,43,unemployed,married,secondary,
3254,52,blue-collar,divorced,primary,
3255,33,technician,married,secondary,
3256,49,management,single,tertiary,
3257,32,management,single,tertiary,
3258,39,admin.,single,secondary,
3259,40,blue-collar,married,secondary,
3260,38,technician,single,tertiary,
3261,43,management,married,secondary,
3262,39,services,married,secondary,
3263,54,blue-collar,married,primary,
3264,38,technician,single,tertiary,
3265,40,blue-collar,married,secondary,
3266,55,admin.,married,secondary,
3267,42,management,married,tertiary,
3268,39,blue-collar,married,secondary,
3269,40,blue-collar,married,primary,
3270,32,blue-collar,married,secondary,
3271,55,admin.,married,secondary,
3272,45,blue-collar,married,secondary,
3273,35,management,single,tertiary,
3274,58,technician,divorced,secondary,
3275,35,admin.,married,secondary,
3276,49,services,married,primary,
3277,34,technician,single,tertiary,
3278,36,blue-collar,married,secondary,
3279,24,self-employed,single,secondary,
3280,34,technician,married,secondary,
3281,51,admin.,divorced,secondary,
3282,39,technician,single,unknown,
3283,50,self-employed,married,unknown,
3284,32,services,single,secondary,
3285,42,blue-collar,married,unknown,
3286,50,technician,married,secondary,
3287,40,services,married,secondary,
3288,46,management,divorced,unknown,
3289,37,management,married,tertiary,
3290,34,blue-collar,married,secondary,
3291,44,blue-collar,married,secondary,
3292,40,admin.,single,secondary,
3293,37,technician,married,secondary,
3294,33,blue-collar,single,secondary,
3295,35,blue-collar,married,secondary,
3296,58,blue-collar,divorced,secondary,
3297,39,blue-collar,married,primary,
3298,43,blue-collar,married,secondary,
3299,39,unemployed,married,primary,
3300,36,services,single,primary,
3301,57,retired,single,secondary,
3302,36,admin.,single,secondary,
3303,50,blue-collar,married,primary,
3304,55,blue-collar,married,secondary,
3305,44,self-employed,married,tertiary,
3306,44,services,divorced,secondary,
3307,39,housemaid,single,primary,
3308,46,blue-collar,married,unknown,
3309,39,blue-collar,married,secondary,
3310,34,admin.,married,secondary,
3311,40,blue-collar,married,primary,
3312,50,management,married,tertiary,
3313,31,management,single,secondary,
3314,37,admin.,single,secondary,
3315,39,management,single,secondary,
3316,51,blue-collar,married,primary,
3317,41,technician,married,secondary,
3318,41,technician,married,secondary,
3319,43,blue-collar,married,secondary,
3320,30,services,single,secondary,
3321,54,management,divorced,primary,
3322,43,blue-collar,divorced,secondary,
3323,59,management,divorced,tertiary,
3324,47,technician,married,unknown,
3325,40,blue-collar,married,primary,
3326,32,technician,married,secondary,
3327,29,blue-collar,married,secondary,
3328,36,blue-collar,married,secondary,
3329,55,unemployed,married,tertiary,
3330,30,blue-collar,divorced,secondary,
3331,39,admin.,single,secondary,
3332,39,blue-collar,divorced,secondary,
3333,50,blue-collar,divorced,secondary,
3334,44,blue-collar,married,secondary,
3335,37,technician,single,secondary,
3336,46,admin.,married,primary,
3337,32,technician,single,unknown,
3338,37,management,single,tertiary,
3339,29,blue-collar,married,secondary,
3340,41,blue-collar,married,secondary,
3341,45,blue-collar,married,primary,
3342,57,retired,divorced,secondary,
3343,48,blue-collar,single,secondary,
3344,60,retired,married,secondary,
3345,26,admin.,single,secondary,
3346,58,retired,married,secondary,
3347,34,admin.,married,secondary,
3348,55,unemployed,divorced,secondary,
3349,41,blue-collar,married,primary,
3350,50,management,divorced,secondary,
3351,49,entrepreneur,married,secondary,
3352,44,admin.,married,unknown,
3353,44,blue-collar,married,primary,
3354,31,technician,married,secondary,
3355,34,blue-collar,single,tertiary,
3356,46,management,single,unknown,
3357,42,management,married,tertiary,
3358,52,admin.,married,secondary,
3359,29,management,single,tertiary,
3360,53,retired,married,primary,
3361,43,blue-collar,married,secondary,
3362,38,management,married,secondary,
3363,46,management,married,tertiary,
3364,48,management,divorced,unknown,
3365,30,admin.,divorced,secondary,
3366,44,blue-collar,married,primary,
3367,31,housemaid,married,primary,
3368,42,services,single,secondary,
3369,40,management,single,tertiary,
3370,52,admin.,married,secondary,
3371,45,blue-collar,divorced,secondary,
3372,48,blue-collar,married,secondary,
3373,45,blue-collar,married,primary,
3374,34,blue-collar,married,unknown,
3375,34,blue-collar,married,primary,
3376,46,blue-collar,married,secondary,
3377,49,services,divorced,secondary,
3378,50,technician,married,primary,
3379,34,admin.,single,secondary,
3380,40,unemployed,single,secondary,
3381,36,admin.,married,secondary,
3382,59,blue-collar,divorced,unknown,
3383,45,blue-collar,married,secondary,
3384,36,self-employed,married,tertiary,
3385,56,services,married,secondary,
3386,42,services,divorced,secondary,
3387,30,admin.,married,secondary,
3388,30,student,single,tertiary,
3389,47,self-employed,married,unknown,
3390,33,blue-collar,married,secondary,
3391,36,admin.,married,secondary,
3392,39,services,divorced,primary,
3393,56,admin.,divorced,secondary,
3394,39,blue-collar,divorced,unknown,
3395,42,technician,married,secondary,
3396,52,blue-collar,married,secondary,
3397,36,admin.,divorced,secondary,
3398,35,entrepreneur,married,secondary,
3399,47,technician,married,secondary,
3400,59,services,divorced,secondary,
3401,57,blue-collar,married,primary,
3402,38,management,married,unknown,
3403,46,unemployed,married,secondary,
3404,34,blue-collar,married,secondary,
3405,28,services,single,secondary,
3406,38,technician,married,unknown,
3407,56,blue-collar,married,secondary,
3408,41,blue-collar,single,primary,
3409,52,technician,married,unknown,
3410,54,services,married,secondary,
3411,61,retired,married,secondary,
3412,53,entrepreneur,married,secondary,
3413,47,technician,married,secondary,
3414,53,blue-collar,married,primary,
3415,46,services,married,secondary,
3416,39,blue-collar,divorced,primary,
3417,56,technician,divorced,secondary,
3418,55,services,divorced,primary,
3419,44,management,married,tertiary,
3420,37,technician,married,primary,
3421,35,blue-collar,married,primary,
3422,55,blue-collar,married,secondary,
3423,37,services,married,secondary,
3424,30,technician,single,secondary,
3425,37,blue-collar,married,primary,
3426,36,technician,single,secondary,
3427,38,technician,married,secondary,
3428,41,admin.,divorced,primary,
3429,48,retired,married,secondary,
3430,55,services,divorced,secondary,
3431,28,services,divorced,secondary,
3432,54,services,married,secondary,
3433,30,blue-collar,married,secondary,
3434,48,technician,married,tertiary,
3435,31,self-employed,married,secondary,
3436,38,blue-collar,married,secondary,
3437,37,blue-collar,married,secondary,
3438,37,services,single,unknown,
3439,56,blue-collar,married,primary,
3440,51,blue-collar,married,secondary,
3441,39,blue-collar,married,secondary,
3442,49,technician,married,unknown,
3443,51,blue-collar,married,primary,
3444,43,self-employed,married,secondary,
3445,32,services,married,secondary,
3446,29,technician,single,tertiary,
3447,48,management,divorced,tertiary,
3448,55,services,married,primary,
3449,53,blue-collar,married,secondary,
3450,47,technician,married,unknown,
3451,39,management,married,tertiary,
3452,31,blue-collar,single,tertiary,
3453,39,blue-collar,married,primary,
3454,40,blue-collar,married,primary,
3455,40,technician,single,unknown,
3456,48,technician,married,secondary,
3457,33,technician,divorced,secondary,
3458,40,technician,married,secondary,
3459,59,retired,married,primary,
3460,30,technician,married,secondary,
3461,31,management,single,tertiary,
3462,35,unemployed,married,secondary,
3463,54,technician,divorced,secondary,
3464,34,admin.,single,unknown,
3465,32,technician,married,secondary,
3466,56,admin.,divorced,unknown,
3467,32,admin.,single,tertiary,
3468,42,blue-collar,married,primary,
3469,33,services,married,tertiary,
3470,52,entrepreneur,married,tertiary,
3471,52,services,married,secondary,
3472,52,blue-collar,divorced,primary,
3473,30,unemployed,divorced,secondary,
3474,44,services,divorced,secondary,
3475,35,admin.,married,secondary,
3476,55,management,single,secondary,
3477,33,blue-collar,married,primary,
3478,37,blue-collar,single,secondary,
3479,42,technician,single,secondary,
3480,43,unemployed,married,secondary,
3481,38,entrepreneur,married,tertiary,
3482,37,technician,married,secondary,
3483,31,student,single,secondary,
3484,41,management,married,tertiary,
3485,41,technician,married,secondary,
3486,29,student,single,secondary,
3487,38,admin.,single,secondary,
3488,44,self-employed,divorced,tertiary,
3489,39,admin.,married,secondary,
3490,28,technician,single,secondary,
3491,33,blue-collar,married,secondary,
3492,41,services,married,unknown,
3493,40,blue-collar,married,primary,
3494,29,admin.,married,secondary,
3495,38,management,married,unknown,
3496,32,admin.,married,tertiary,
3497,45,services,married,secondary,
3498,33,admin.,single,secondary,
3499,34,blue-collar,married,secondary,
3500,41,entrepreneur,married,unknown,
3501,41,blue-collar,married,secondary,
3502,35,admin.,single,secondary,
3503,40,technician,single,secondary,
3504,60,self-employed,married,primary,
3505,47,services,divorced,secondary,
3506,46,blue-collar,married,primary,
3507,31,blue-collar,single,secondary,
3508,49,self-employed,married,secondary,
3509,29,blue-collar,married,secondary,
3510,31,management,single,tertiary,
3511,38,management,married,tertiary,
3512,37,blue-collar,married,primary,
3513,35,technician,married,secondary,
3514,31,management,single,secondary,
3515,41,admin.,married,secondary,
3516,46,services,married,unknown,
3517,40,services,divorced,secondary,
3518,29,admin.,married,secondary,
3519,49,admin.,married,secondary,
3520,42,management,married,tertiary,
3521,54,services,married,secondary,
3522,40,management,single,tertiary,
3523,53,admin.,married,secondary,
3524,49,management,married,tertiary,
3525,40,blue-collar,married,primary,
3526,29,student,single,secondary,
3527,36,blue-collar,married,primary,
3528,37,technician,married,secondary,
3529,39,services,married,secondary,
3530,36,technician,married,secondary,
3531,44,entrepreneur,married,tertiary,
3532,40,admin.,married,secondary,
3533,49,blue-collar,married,secondary,
3534,30,technician,single,unknown,
3535,57,management,married,tertiary,
3536,24,services,single,secondary,
3537,46,blue-collar,married,unknown,
3538,33,admin.,married,secondary,
3539,43,services,divorced,secondary,
3540,43,admin.,single,secondary,
3541,40,blue-collar,divorced,primary,
3542,44,technician,single,unknown,
3543,35,technician,single,tertiary,
3544,47,technician,married,secondary,
3545,33,blue-collar,married,secondary,
3546,31,admin.,married,secondary,
3547,40,blue-collar,divorced,secondary,
3548,36,entrepreneur,married,tertiary,
3549,56,retired,divorced,primary,
3550,40,admin.,single,unknown,
3551,41,admin.,divorced,secondary,
3552,53,retired,married,secondary,
3553,39,blue-collar,married,secondary,
3554,44,blue-collar,divorced,secondary,
3555,38,admin.,married,secondary,
3556,54,technician,divorced,secondary,
3557,58,management,married,tertiary,
3558,52,blue-collar,married,primary,
3559,28,admin.,single,secondary,
3560,36,blue-collar,married,secondary,
3561,60,retired,married,primary,
3562,42,services,divorced,secondary,
3563,42,admin.,married,secondary,
3564,44,management,married,tertiary,
3565,51,blue-collar,divorced,primary,
3566,49,blue-collar,married,primary,
3567,47,entrepreneur,married,unknown,
3568,37,blue-collar,married,secondary,
3569,34,management,married,tertiary,
3570,35,services,married,secondary,
3571,35,blue-collar,single,secondary,
3572,40,blue-collar,married,primary,
3573,55,technician,married,secondary,
3574,55,retired,married,secondary,
3575,35,management,single,tertiary,
3576,57,blue-collar,married,primary,
3577,53,management,married,tertiary,
3578,41,blue-collar,married,primary,
3579,57,blue-collar,married,unknown,
3580,45,blue-collar,married,unknown,
3581,43,blue-collar,married,primary,
3582,56,self-employed,married,unknown,
3583,31,entrepreneur,married,tertiary,
3584,37,blue-collar,single,secondary,
3585,30,management,married,tertiary,
3586,30,admin.,single,secondary,
3587,54,blue-collar,married,secondary,
3588,36,management,married,tertiary,
3589,55,unemployed,married,tertiary,
3590,37,admin.,single,secondary,
3591,38,housemaid,married,secondary,
3592,48,admin.,married,secondary,
3593,55,housemaid,divorced,tertiary,
3594,59,services,married,secondary,
3595,37,technician,married,secondary,
3596,33,blue-collar,divorced,secondary,
3597,44,blue-collar,married,primary,
3598,57,technician,married,secondary,
3599,30,self-employed,single,tertiary,
3600,42,technician,married,tertiary,
3601,51,blue-collar,divorced,secondary,
3602,44,admin.,divorced,secondary,
3603,46,technician,married,secondary,
3604,29,student,single,secondary,
3605,39,blue-collar,married,primary,
3606,42,services,married,secondary,
3607,50,blue-collar,married,primary,
3608,42,technician,single,secondary,
3609,39,admin.,married,secondary,
3610,55,technician,single,tertiary,
3611,46,services,married,secondary,
3612,42,blue-collar,married,secondary,
3613,45,management,married,tertiary,
3614,43,blue-collar,married,primary,
3615,42,admin.,married,secondary,
3616,30,admin.,married,secondary,
3617,47,blue-collar,married,secondary,
3618,51,services,divorced,secondary,
3619,38,technician,single,secondary,
3620,57,technician,married,unknown,
3621,42,management,divorced,tertiary,
3622,32,technician,divorced,secondary,
3623,46,management,married,tertiary,
3624,29,student,single,tertiary,
3625,59,retired,married,secondary,
3626,32,blue-collar,single,secondary,
3627,44,blue-collar,married,primary,
3628,40,retired,married,primary,
3629,31,blue-collar,single,secondary,
3630,46,self-employed,married,tertiary,
3631,43,management,married,tertiary,
3632,34,services,married,secondary,
3633,39,management,married,tertiary,
3634,30,blue-collar,divorced,secondary,
3635,56,retired,married,secondary,
3636,29,technician,married,secondary,
3637,40,blue-collar,divorced,secondary,
3638,36,services,married,secondary,
3639,37,blue-collar,single,secondary,
3640,35,admin.,married,secondary,
3641,35,blue-collar,married,primary,
3642,47,services,married,primary,
3643,31,services,married,secondary,
3644,56,retired,single,primary,
3645,57,technician,married,secondary,
3646,36,blue-collar,married,secondary,
3647,45,self-employed,divorced,secondary,
3648,47,blue-collar,married,unknown,
3649,29,technician,single,tertiary,
3650,57,services,married,secondary,
3651,45,blue-collar,married,primary,
3652,31,blue-collar,single,primary,
3653,31,management,divorced,tertiary,
3654,37,technician,single,tertiary,
3655,30,technician,single,tertiary,
3656,58,services,divorced,secondary,
3657,33,services,married,secondary,
3658,39,blue-collar,married,primary,
3659,33,blue-collar,single,primary,
3660,34,services,married,secondary,
3661,36,services,divorced,secondary,
3662,37,services,single,secondary,
3663,35,blue-collar,married,secondary,
3664,55,retired,married,secondary,
3665,34,management,single,tertiary,
3666,40,management,divorced,tertiary,
3667,42,blue-collar,single,primary,
3668,37,blue-collar,married,secondary,
3669,42,management,married,tertiary,
3670,35,technician,single,secondary,
3671,44,technician,divorced,secondary,
3672,30,services,single,secondary,
3673,45,entrepreneur,married,secondary,
3674,35,blue-collar,single,unknown,
3675,36,admin.,divorced,secondary,
3676,49,blue-collar,married,secondary,
3677,31,blue-collar,single,secondary,
3678,31,technician,single,secondary,
3679,39,blue-collar,married,secondary,
3680,37,services,single,secondary,
3681,33,blue-collar,married,primary,
3682,37,management,married,tertiary,
3683,42,services,married,secondary,
3684,56,blue-collar,married,secondary,
3685,37,admin.,single,secondary,
3686,36,services,single,secondary,
3687,29,technician,single,tertiary,
3688,54,management,married,tertiary,
3689,38,blue-collar,married,secondary,
3690,43,blue-collar,divorced,secondary,
3691,47,admin.,single,secondary,
