ID,DEFAULT,BALANCE,HOUSING,LOAN,
2936,no,-674,yes,no,
2937,no,90,no,no,
2938,no,128,yes,no,
2939,no,179,yes,no,
2940,no,0,yes,no,
2941,no,54,yes,no,
2942,no,151,yes,no,
2943,no,61,no,yes,
2944,no,30,yes,no,
2945,no,523,yes,no,
2946,no,31,yes,no,
2947,no,79,no,no,
2948,no,-34,yes,yes,
2949,no,448,yes,no,
2950,no,81,yes,no,
2951,no,144,yes,no,
2952,no,351,yes,no,
2953,no,-67,yes,no,
2954,no,262,no,no,
2955,no,0,no,no,
2956,no,56,yes,no,
2957,no,26,yes,no,
2958,no,3,yes,no,
2959,no,41,yes,yes,
2960,no,7,no,yes,
2961,no,105,yes,no,
2962,no,818,yes,yes,
2963,no,-16,yes,yes,
2964,no,0,yes,no,
2965,no,2476,yes,no,
2966,no,1185,no,no,
2967,no,217,yes,no,
2968,no,1685,yes,no,
2969,no,802,yes,yes,
2970,no,0,yes,no,
2971,no,94,yes,no,
2972,no,0,yes,no,
2973,no,0,no,no,
2974,no,517,yes,no,
2975,no,265,yes,no,
2976,no,947,yes,no,
2977,no,3,yes,no,
2978,no,42,no,no,
2979,no,37,yes,no,
2980,no,57,yes,no,
2981,no,22,yes,no,
2982,no,8,yes,no,
2983,no,293,yes,no,
2984,no,3,yes,no,
2985,no,348,yes,no,
2986,no,-19,yes,no,
2987,no,0,yes,no,
2988,no,-4,yes,no,
2989,no,18,yes,no,
2990,no,139,no,no,
2991,no,0,yes,no,
2992,no,1883,yes,no,
2993,no,216,yes,no,
2994,no,782,yes,no,
2995,no,904,yes,no,
2996,no,1705,yes,no,
2997,no,47,yes,no,
2998,no,176,yes,no,
2999,no,1225,yes,no,
3000,no,86,yes,no,
3001,no,82,yes,no,
3002,no,271,yes,no,
3003,no,1378,yes,no,
3004,no,184,no,no,
3005,no,0,no,no,
3006,no,0,yes,no,
3007,no,1357,yes,yes,
3008,no,19,yes,no,
3009,no,434,no,no,
3010,no,92,yes,no,
3011,no,1151,yes,no,
3012,no,41,yes,no,
3013,no,51,yes,no,
3014,no,214,yes,no,
3015,no,1161,yes,no,
3016,no,37,yes,no,
3017,no,787,yes,no,
3018,no,59,yes,no,
3019,no,253,yes,no,
3020,no,211,yes,no,
3021,no,235,yes,no,
3022,no,4384,yes,no,
3023,no,4080,no,no,
3024,no,53,yes,yes,
3025,no,0,yes,no,
3026,no,2127,yes,no,
3027,no,377,yes,no,
3028,no,73,yes,no,
3029,no,445,yes,no,
3030,no,243,yes,no,
3031,no,307,yes,no,
3032,no,155,yes,no,
3033,no,173,no,yes,
3034,no,400,yes,no,
3035,no,1428,yes,no,
3036,no,219,yes,no,
3037,no,7,yes,no,
3038,no,575,yes,no,
3039,no,298,yes,no,
3040,no,0,yes,no,
3041,no,5699,yes,no,
3042,no,176,yes,yes,
3043,no,517,yes,no,
3044,no,257,yes,no,
3045,no,56,yes,no,
3046,no,-390,yes,no,
3047,no,330,yes,no,
3048,no,195,no,no,
3049,no,301,yes,no,
3050,no,-41,yes,no,
3051,no,483,yes,no,
3052,no,28,no,no,
3053,no,13,no,no,
3054,no,965,no,no,
3055,no,378,yes,yes,
3056,no,219,yes,no,
3057,no,324,yes,no,
3058,no,-69,yes,no,
3059,no,0,no,yes,
3060,no,205,yes,no,
3061,no,278,yes,no,
3062,no,1065,yes,no,
3063,no,34,yes,no,
3064,no,1033,no,no,
3065,no,1467,yes,no,
3066,no,-12,yes,no,
3067,no,388,yes,no,
3068,no,294,yes,no,
3069,no,1827,no,no,
3070,no,627,yes,no,
3071,no,25,yes,no,
3072,no,315,yes,no,
3073,no,0,yes,no,
3074,no,66,yes,no,
3075,no,-9,yes,yes,
3076,no,349,yes,yes,
3077,no,100,yes,no,
3078,no,0,no,no,
3079,no,434,yes,no,
3080,no,3237,yes,no,
3081,no,275,no,no,
3082,no,0,yes,no,
3083,no,207,yes,no,
3084,no,483,yes,no,
3085,no,2248,yes,no,
3086,no,428,yes,no,
3087,no,0,yes,yes,
3088,no,0,yes,no,
3089,no,140,yes,no,
3090,no,297,yes,no,
3091,no,279,yes,no,
3092,no,901,yes,no,
3093,no,2573,yes,no,
3094,no,143,yes,yes,
3095,no,475,yes,no,
3096,no,70,yes,no,
3097,no,318,yes,no,
3098,no,275,yes,no,
3099,no,742,yes,no,
3100,no,236,yes,no,
3101,no,25,yes,no,
3102,no,600,yes,no,
3103,no,-349,yes,no,
3104,no,183,yes,yes,
3105,no,0,yes,no,
3106,no,0,yes,yes,
3107,no,0,yes,no,
3108,no,1078,yes,no,
3109,no,155,no,no,
3110,no,190,yes,no,
3111,no,319,yes,no,
3112,no,-185,yes,no,
3113,no,47,no,no,
3114,no,570,yes,no,
3115,no,19,no,no,
3116,no,61,yes,no,
3117,no,-62,yes,yes,
3118,no,258,no,no,
3119,no,76,yes,no,
3120,no,0,yes,no,
3121,no,352,yes,no,
3122,no,368,yes,no,
3123,no,339,yes,no,
3124,no,1331,yes,no,
3125,no,672,yes,no,
3126,no,58,yes,no,
3127,no,447,yes,no,
3128,no,423,yes,no,
3129,no,0,no,no,
3130,no,19,yes,no,
3131,no,13,yes,no,
3132,no,3,yes,no,
3133,no,82,yes,no,
3134,no,28,yes,no,
3135,no,792,yes,no,
3136,no,408,yes,no,
3137,no,531,yes,no,
3138,no,211,yes,no,
3139,no,62,yes,no,
3140,no,257,yes,no,
3141,no,1234,yes,no,
3142,no,313,yes,no,
3143,no,89,yes,no,
3144,no,129,yes,yes,
3145,no,0,yes,no,
3146,no,353,yes,no,
3147,no,851,yes,no,
3148,no,96,yes,yes,
3149,no,398,yes,yes,
3150,no,193,no,no,
3151,no,-358,yes,no,
3152,no,539,yes,yes,
3153,no,0,yes,no,
3154,no,0,no,no,
3155,no,490,yes,no,
3156,no,0,yes,no,
3157,no,403,yes,no,
3158,no,161,yes,no,
3159,no,2558,no,no,
3160,no,98,yes,no,
3161,no,115,no,no,
3162,no,436,yes,no,
3163,no,831,yes,no,
3164,no,206,yes,no,
3165,no,290,yes,no,
3166,no,1,no,no,
3167,no,57,yes,no,
3168,no,-457,yes,no,
3169,no,1387,yes,no,
3170,no,24598,yes,no,
3171,no,30,yes,no,
3172,no,1022,yes,no,
3173,no,56,yes,yes,
3174,yes,-2,no,no,
3175,no,121,yes,no,
3176,no,842,yes,no,
3177,no,693,yes,no,
3178,no,-333,yes,no,
3179,no,1533,yes,no,
3180,no,46,yes,no,
3181,no,18,no,no,
3182,no,44,yes,no,
3183,no,-100,yes,no,
3184,no,510,yes,no,
3185,no,685,yes,no,
3186,no,187,yes,no,
3187,no,66,yes,no,
3188,no,560,yes,no,
3189,no,0,yes,no,
3190,no,27,no,no,
3191,no,12,yes,no,
3192,no,34,yes,no,
3193,no,1068,yes,no,
3194,no,211,yes,no,
3195,no,377,yes,no,
3196,no,263,yes,no,
3197,no,1263,yes,no,
3198,no,8,yes,no,
3199,no,126,yes,yes,
3200,no,230,yes,no,
3201,no,841,yes,no,
3202,no,308,yes,no,
3203,no,1,yes,no,
3204,no,86,yes,no,
3205,no,157,yes,no,
3206,no,22,yes,no,
3207,no,46,yes,yes,
3208,no,1293,no,no,
3209,no,122,yes,no,
3210,no,131,yes,no,
3211,no,143,yes,no,
3212,no,393,no,no,
3213,no,98,yes,no,
3214,no,0,yes,no,
3215,no,224,yes,no,
3216,no,757,yes,no,
3217,no,245,yes,yes,
3218,no,8486,no,no,
3219,no,350,no,no,
3220,no,20,yes,no,
3221,no,1667,yes,yes,
3222,no,345,yes,no,
3223,no,10,yes,no,
3224,no,830,yes,yes,
3225,no,29,yes,no,
3226,no,545,yes,no,
3227,no,8730,yes,no,
3228,no,477,yes,no,
3229,no,4,yes,no,
3230,no,1205,yes,no,
3231,no,0,yes,yes,
3232,no,263,yes,no,
3233,no,1,no,no,
3234,no,283,no,yes,
3235,no,206,yes,no,
3236,no,17,yes,no,
3237,no,141,yes,yes,
3238,no,16,yes,no,
3239,no,206,yes,no,
3240,no,7,no,no,
3241,no,0,no,no,
3242,no,0,no,no,
3243,no,1927,yes,no,
3244,no,284,yes,no,
3245,no,1660,yes,no,
3246,no,406,yes,no,
3247,no,230,yes,no,
3248,no,-25,yes,no,
3249,no,182,yes,no,
3250,no,1169,yes,no,
3251,no,67,yes,no,
3252,no,77,no,no,
3253,no,0,yes,no,
3254,no,55,yes,yes,
3255,yes,72,yes,no,
3256,no,163,yes,no,
3257,no,151,yes,no,
3258,no,113,yes,no,
3259,no,0,yes,no,
3260,no,9,yes,no,
3261,no,375,yes,no,
3262,no,1142,yes,no,
3263,no,2102,yes,no,
3264,no,4325,yes,no,
3265,no,217,yes,no,
3266,no,131,yes,no,
3267,no,1680,yes,no,
3268,no,0,yes,no,
3269,no,46,yes,no,
3270,no,320,yes,no,
3271,no,183,yes,no,
3272,no,39,no,no,
3273,no,560,yes,no,
3274,no,469,no,no,
3275,no,530,yes,no,
3276,no,61,yes,no,
3277,no,242,yes,no,
3278,no,139,yes,no,
3279,no,0,yes,no,
3280,no,367,yes,no,
3281,no,228,yes,no,
3282,no,45248,yes,no,
3283,no,-84,yes,no,
3284,no,310,yes,no,
3285,no,132,yes,no,
3286,no,797,yes,no,
3287,no,71,no,no,
3288,no,2,yes,no,
3289,no,231,yes,yes,
3290,no,270,yes,yes,
3291,no,274,yes,yes,
3292,no,-109,yes,yes,
3293,no,1,yes,no,
3294,yes,-60,no,no,
3295,no,89,yes,no,
3296,no,-11,no,no,
3297,no,0,yes,no,
3298,no,-509,yes,no,
3299,no,408,yes,no,
3300,no,58,yes,no,
3301,no,1640,no,yes,
3302,no,20,yes,no,
3303,no,71,yes,no,
3304,no,52,yes,no,
3305,no,292,yes,no,
3306,no,424,yes,no,
3307,no,109,yes,no,
3308,no,1044,yes,no,
3309,no,983,yes,no,
3310,no,869,no,no,
3311,no,668,yes,no,
3312,no,964,yes,no,
3313,no,301,yes,no,
3314,no,140,yes,no,
3315,no,1877,yes,no,
3316,no,1127,yes,no,
3317,no,871,yes,no,
3318,no,767,yes,yes,
3319,no,0,no,no,
3320,no,209,yes,no,
3321,no,0,no,no,
3322,no,110,yes,yes,
3323,no,-76,yes,yes,
3324,no,178,yes,no,
3325,no,-66,yes,no,
3326,no,0,yes,no,
3327,no,1,yes,no,
3328,no,0,yes,no,
3329,no,5345,no,no,
3330,no,-209,yes,no,
3331,no,0,yes,no,
3332,no,42,yes,no,
3333,no,41,yes,no,
3334,no,-99,yes,no,
3335,no,17,yes,no,
3336,no,276,yes,yes,
3337,no,-170,no,no,
3338,no,230,yes,yes,
3339,no,9,yes,no,
3340,no,946,yes,no,
3341,no,1297,yes,no,
3342,no,-331,yes,no,
3343,no,44,yes,no,
3344,yes,15,no,no,
3345,no,712,yes,no,
3346,no,5435,yes,no,
3347,no,507,yes,no,
3348,no,387,yes,no,
3349,no,0,yes,yes,
3350,no,1716,yes,no,
3351,no,167,yes,yes,
3352,no,40,no,yes,
3353,no,148,yes,no,
3354,no,17,yes,yes,
3355,no,1011,yes,no,
3356,no,1527,yes,no,
3357,no,744,no,no,
3358,no,484,yes,no,
3359,no,0,yes,no,
3360,no,136,yes,no,
3361,no,1335,yes,no,
3362,no,517,yes,no,
3363,no,459,yes,no,
3364,no,549,yes,no,
3365,no,83,yes,yes,
3366,no,213,no,no,
3367,no,203,yes,no,
3368,no,518,yes,no,
3369,no,3877,yes,no,
3370,no,1236,yes,no,
3371,no,756,yes,no,
3372,no,157,yes,no,
3373,no,-66,yes,no,
3374,no,245,yes,no,
3375,no,-144,yes,no,
3376,no,71,yes,no,
3377,no,505,yes,no,
3378,no,249,yes,no,
3379,no,0,yes,no,
3380,no,11,yes,no,
3381,no,639,yes,no,
3382,no,124,yes,no,
3383,no,82,yes,no,
3384,no,107,yes,no,
3385,no,473,yes,no,
3386,no,372,yes,yes,
3387,no,46,yes,no,
3388,no,34,yes,no,
3389,no,935,yes,no,
3390,no,-10,yes,no,
3391,no,-106,yes,no,
3392,no,471,yes,no,
3393,no,778,yes,no,
3394,no,170,yes,no,
3395,no,315,yes,no,
3396,no,3165,no,no,
3397,no,131,yes,no,
3398,yes,204,yes,no,
3399,no,83,yes,no,
3400,no,0,yes,yes,
3401,no,5431,yes,yes,
3402,no,1759,yes,no,
3403,no,-125,yes,no,
3404,no,0,no,no,
3405,no,5090,yes,no,
3406,no,573,yes,no,
3407,no,1602,yes,no,
3408,yes,-137,yes,yes,
3409,no,0,no,no,
3410,no,193,no,no,
3411,no,195,yes,yes,
3412,no,288,no,no,
3413,no,19,yes,no,
3414,no,25,yes,no,
3415,no,216,yes,no,
3416,no,190,yes,yes,
3417,no,99,yes,no,
3418,no,2298,yes,no,
3419,no,17,yes,no,
3420,no,0,yes,no,
3421,no,0,yes,no,
3422,no,840,yes,no,
3423,no,358,yes,no,
3424,no,0,yes,no,
3425,no,-325,yes,yes,
3426,no,-15,yes,no,
3427,no,581,yes,no,
3428,no,4070,yes,no,
3429,no,74,no,yes,
3430,no,141,yes,no,
3431,no,89,no,no,
3432,yes,0,yes,no,
3433,no,450,no,no,
3434,no,310,no,no,
3435,no,0,yes,no,
3436,no,384,yes,no,
3437,no,395,yes,no,
3438,no,-118,yes,no,
3439,no,5,yes,yes,
3440,no,50,yes,yes,
3441,no,285,yes,yes,
3442,no,15,no,no,
3443,no,653,yes,yes,
3444,no,918,yes,no,
3445,no,243,yes,yes,
3446,no,405,yes,no,
3447,no,1328,yes,no,
3448,no,255,yes,no,
3449,no,3397,yes,no,
3450,no,2106,yes,no,
3451,no,2877,yes,no,
3452,no,60,yes,yes,
3453,no,2226,yes,no,
3454,no,2880,yes,no,
3455,no,-5,yes,no,
3456,no,147,no,no,
3457,no,7,yes,yes,
3458,no,109,yes,no,
3459,no,-119,yes,no,
3460,no,484,yes,no,
3461,no,1852,yes,no,
3462,no,533,yes,no,
3463,no,21,yes,no,
3464,no,2434,yes,no,
3465,no,90,yes,yes,
3466,no,4246,yes,no,
3467,no,395,yes,no,
3468,no,15,yes,no,
3469,no,85,no,no,
3470,no,-184,yes,yes,
3471,no,660,no,no,
3472,yes,-183,yes,no,
3473,no,1144,yes,no,
3474,no,1,yes,no,
3475,no,69,yes,yes,
3476,no,220,yes,no,
3477,no,332,yes,no,
3478,no,240,yes,no,
3479,no,0,yes,no,
3480,no,0,yes,no,
3481,no,898,yes,no,
3482,no,123,yes,yes,
3483,no,252,yes,no,
3484,no,65,yes,no,
3485,no,-366,yes,yes,
3486,no,209,yes,no,
3487,no,221,yes,no,
3488,no,4,yes,no,
3489,no,104,yes,no,
3490,no,312,yes,no,
3491,no,-349,yes,no,
3492,no,4,no,no,
3493,no,-322,yes,yes,
3494,no,-150,yes,no,
3495,no,1349,yes,no,
3496,no,281,yes,no,
3497,no,1259,yes,no,
3498,no,101,yes,no,
3499,no,848,yes,no,
3500,no,89,yes,no,
3501,no,140,yes,no,
3502,no,148,yes,no,
3503,no,200,yes,no,
3504,no,46,yes,no,
3505,no,201,yes,no,
3506,no,530,yes,no,
3507,no,0,yes,no,
3508,no,1,yes,no,
3509,no,43,yes,no,
3510,no,-173,yes,no,
3511,no,389,yes,no,
3512,no,215,yes,yes,
3513,no,-131,yes,no,
3514,no,783,yes,no,
3515,no,0,yes,no,
3516,no,80,yes,no,
3517,no,105,yes,no,
3518,no,182,yes,yes,
3519,no,82,yes,no,
3520,no,0,yes,no,
3521,no,510,yes,no,
3522,no,242,yes,no,
3523,no,244,yes,yes,
3524,no,92,yes,no,
3525,yes,0,yes,no,
3526,no,948,yes,no,
3527,no,23,yes,no,
3528,no,710,yes,no,
3529,no,1205,yes,no,
3530,no,368,yes,yes,
3531,no,1631,yes,no,
3532,no,6,yes,no,
3533,no,26,yes,no,
3534,no,-48,yes,no,
3535,no,2142,yes,no,
3536,no,77,yes,yes,
3537,no,401,yes,no,
3538,no,21,no,no,
3539,no,0,yes,no,
3540,no,-497,yes,no,
3541,no,369,no,no,
3542,no,78,yes,no,
3543,no,226,yes,yes,
3544,no,503,yes,no,
3545,no,372,yes,no,
3546,no,0,yes,yes,
3547,no,0,yes,no,
3548,no,125,yes,no,
3549,no,4,yes,no,
3550,no,419,yes,no,
3551,no,322,yes,no,
3552,no,303,yes,no,
3553,no,607,yes,no,
3554,no,579,yes,no,
3555,no,3047,yes,no,
3556,no,83,yes,no,
3557,no,68,yes,no,
3558,no,58,yes,no,
3559,no,251,yes,no,
3560,no,688,yes,no,
3561,no,364,yes,no,
3562,no,55,yes,no,
3563,no,101,yes,no,
3564,no,105,yes,no,
3565,no,325,yes,no,
3566,no,198,yes,no,
3567,no,209,yes,no,
3568,no,183,yes,no,
3569,no,105,yes,no,
3570,no,109,yes,no,
3571,no,376,yes,yes,
3572,no,-7,yes,no,
3573,no,0,no,no,
3574,no,143,yes,no,
3575,no,550,yes,no,
3576,no,162,yes,no,
3577,no,115,yes,no,
3578,no,512,yes,no,
3579,no,807,yes,no,
3580,no,248,yes,no,
3581,no,1211,yes,no,
3582,no,7,no,no,
3583,no,281,yes,no,
3584,no,88,yes,no,
3585,no,32,yes,no,
3586,no,115,yes,no,
3587,no,254,yes,no,
3588,no,144,yes,no,
3589,no,383,no,no,
3590,no,569,yes,yes,
3591,no,0,yes,no,
3592,no,3754,yes,no,
3593,no,6920,yes,no,
3594,no,307,yes,yes,
3595,no,-421,yes,no,
3596,no,60,no,no,
3597,no,67,yes,no,
3598,no,402,yes,no,
3599,no,800,no,no,
3600,no,239,yes,yes,
3601,no,421,yes,no,
3602,no,161,yes,no,
3603,yes,289,no,no,
3604,no,110,yes,no,
3605,no,245,yes,no,
3606,no,0,yes,no,
3607,no,156,yes,no,
3608,no,0,yes,no,
3609,no,20,yes,no,
3610,no,92,yes,no,
3611,no,89,yes,no,
3612,no,166,yes,no,
3613,no,103,yes,no,
3614,no,-454,yes,no,
3615,no,445,yes,no,
3616,no,4,no,no,
3617,no,1001,yes,no,
3618,no,-69,yes,no,
3619,no,42,yes,no,
3620,no,1617,yes,no,
3621,no,221,yes,no,
3622,no,210,yes,yes,
3623,no,0,no,no,
3624,no,185,yes,no,
3625,no,836,yes,no,
3626,no,301,yes,no,
3627,no,503,yes,no,
3628,no,407,yes,no,
3629,no,53,yes,no,
3630,no,2303,yes,no,
3631,no,144,yes,no,
3632,no,205,yes,no,
3633,no,305,yes,no,
3634,no,251,yes,yes,
3635,no,0,yes,no,
3636,no,8,no,no,
3637,no,139,yes,no,
3638,no,184,yes,no,
3639,no,238,yes,no,
3640,no,0,no,no,
3641,yes,0,yes,no,
3642,no,222,yes,no,
3643,no,414,yes,no,
3644,no,223,yes,no,
3645,no,197,no,no,
3646,no,-251,yes,no,
3647,no,-139,yes,no,
3648,no,733,yes,no,
3649,no,0,yes,no,
3650,no,1,no,no,
3651,no,97,yes,no,
3652,no,435,yes,no,
3653,no,0,yes,no,
3654,no,147,no,no,
3655,no,3,yes,no,
3656,no,1109,yes,yes,
3657,no,404,yes,no,
3658,no,981,yes,no,
3659,no,95,yes,no,
3660,no,302,yes,no,
3661,no,-290,yes,yes,
3662,no,259,yes,no,
3663,no,527,yes,yes,
3664,no,102,yes,no,
3665,no,872,yes,no,
3666,no,490,yes,no,
3667,no,19,yes,no,
3668,no,16,yes,no,
3669,no,386,yes,no,
3670,no,539,yes,no,
3671,no,-329,yes,no,
3672,no,-174,yes,no,
3673,no,68,yes,no,
3674,yes,-532,yes,no,
3675,no,0,yes,no,
3676,no,64,yes,no,
3677,no,1415,yes,no,
3678,no,147,yes,no,
3679,no,72,yes,no,
3680,no,-196,yes,no,
3681,no,716,yes,no,
3682,no,0,yes,no,
3683,no,-246,yes,no,
3684,no,-203,yes,no,
3685,no,245,yes,yes,
3686,no,342,yes,no,
3687,no,3,yes,no,
3688,yes,-248,yes,yes,
3689,no,376,yes,no,
3690,no,370,yes,no,
3691,no,594,yes,no,
3692,no,387,yes,no,
3693,no,208,yes,no,
3694,no,563,yes,no,
3695,no,392,yes,yes,
3696,no,165,no,no,
3697,no,236,yes,no,
3698,no,52,yes,no,
3699,no,1265,yes,no,
3700,no,693,yes,no,
3701,no,118,yes,no,
3702,no,3659,yes,no,
3703,no,24,yes,no,
3704,no,673,yes,no,
3705,no,273,no,no,
3706,no,327,yes,no,
3707,no,299,yes,no,
3708,no,0,yes,no,
3709,no,109,yes,no,
3710,no,552,no,no,
3711,no,473,yes,no,
3712,no,414,yes,no,
3713,no,154,yes,no,
3714,no,344,yes,no,
3715,no,8,yes,no,
3716,no,78,yes,no,
3717,no,266,yes,no,
3718,no,98,yes,yes,
3719,no,83,yes,no,
3720,yes,45,yes,no,
3721,no,8,yes,no,
3722,no,263,yes,no,
3723,no,306,yes,no,
3724,no,233,yes,no,
3725,no,447,no,yes,
3726,no,872,yes,no,
3727,no,-291,yes,yes,
3728,no,309,yes,yes,
3729,no,202,yes,no,
3730,no,56,yes,yes,
3731,no,229,yes,yes,
3732,no,143,yes,no,
3733,no,100,yes,no,
3734,no,326,yes,no,
3735,no,167,yes,no,
3736,no,545,yes,no,
3737,no,2100,yes,yes,
3738,no,0,yes,yes,
3739,no,192,yes,no,
3740,no,442,yes,no,
3741,no,267,yes,no,
3742,no,0,yes,no,
3743,no,377,yes,no,
3744,no,7624,no,no,
3745,no,66,yes,no,
3746,no,37,yes,no,
3747,no,64,yes,no,
3748,no,34,yes,no,
3749,no,627,yes,no,
3750,no,1013,yes,no,
3751,no,140,yes,no,
3752,no,8823,yes,no,
3753,no,97,yes,no,
3754,no,5,yes,no,
3755,no,74,yes,no,
3756,no,58544,yes,no,
3757,no,169,yes,no,
3758,no,444,yes,no,
3759,no,542,yes,no,
3760,no,-205,yes,no,
3761,no,112,yes,no,
3762,no,39,no,no,
3763,no,1268,yes,no,
3764,no,-98,yes,no,
3765,no,44,yes,yes,
3766,no,-90,yes,yes,
3767,no,0,no,no,
3768,yes,-94,yes,yes,
3769,yes,-345,yes,no,
3770,no,-932,yes,no,
3771,no,20,yes,no,
3772,no,90,yes,no,
3773,no,31,yes,no,
3774,no,134,yes,yes,
3775,no,0,yes,no,
3776,no,61,yes,no,
3777,yes,-5,yes,no,
3778,no,-45,no,no,
3779,no,156,yes,yes,
3780,no,564,yes,no,
3781,no,-6,yes,no,
3782,no,528,no,no,
3783,no,1481,yes,no,
3784,no,2019,no,no,
3785,no,1855,yes,no,
3786,no,147,yes,yes,
3787,no,220,yes,no,
3788,no,198,yes,no,
3789,no,115,no,no,
3790,no,87,yes,no,
3791,no,644,yes,no,
3792,no,225,yes,yes,
3793,no,502,yes,no,
3794,no,-32,yes,no,
3795,no,106,yes,no,
3796,no,301,yes,no,
3797,no,906,yes,no,
3798,no,187,yes,no,
3799,no,852,yes,yes,
3800,no,143,yes,no,
3801,no,71,no,no,
3802,no,1496,yes,no,
3803,no,703,yes,no,
3804,no,732,yes,no,
3805,no,21,yes,no,
3806,no,276,yes,no,
3807,no,0,yes,no,
3808,no,550,yes,no,
3809,no,268,yes,no,
3810,no,-825,yes,no,
3811,no,137,yes,yes,
3812,no,42,yes,yes,
3813,no,54,no,no,
3814,no,1716,yes,no,
3815,no,270,yes,no,
3816,no,803,yes,no,
3817,no,102,yes,no,
3818,no,188,yes,no,
3819,no,207,yes,no,
3820,no,1466,yes,no,
3821,no,350,yes,no,
3822,no,159,yes,no,
3823,no,157,yes,yes,
3824,no,0,no,no,
3825,no,91,yes,no,
3826,no,849,yes,no,
3827,no,436,yes,no,
3828,no,-1,yes,no,
3829,no,297,yes,no,
3830,no,313,yes,yes,
3831,no,310,yes,no,
3832,no,475,yes,no,
3833,no,61,yes,no,
3834,no,1377,yes,no,
3835,no,56,no,no,
3836,no,0,yes,no,
3837,no,73,no,no,
3838,no,660,yes,no,
3839,no,-79,yes,no,
3840,no,558,yes,no,
3841,no,342,yes,no,
3842,no,-4,yes,no,
3843,no,225,yes,no,
3844,no,267,yes,no,
3845,no,46,yes,no,
3846,no,624,yes,no,
3847,no,1107,yes,yes,
3848,no,573,yes,no,
3849,no,406,yes,no,
3850,no,220,yes,no,
3851,no,2308,yes,no,
3852,no,139,yes,no,
3853,no,367,yes,no,
3854,no,278,yes,no,
3855,no,229,yes,no,
3856,no,1722,yes,no,
3857,no,-500,yes,no,
3858,no,308,yes,no,
3859,no,1026,yes,yes,
3860,no,548,yes,no,
3861,no,356,yes,yes,
3862,no,164,yes,no,
3863,no,211,no,no,
3864,no,19,yes,no,
3865,no,108,yes,yes,
3866,no,308,yes,no,
3867,no,7,yes,yes,
3868,no,16,yes,yes,
3869,no,867,yes,no,
3870,no,277,yes,no,
3871,no,196,yes,no,
3872,no,365,yes,yes,
3873,no,1310,no,no,
3874,no,186,no,no,
3875,no,148,yes,no,
3876,no,862,yes,yes,
3877,no,359,yes,no,
3878,no,190,no,no,
3879,no,4,yes,yes,
3880,no,0,yes,no,
3881,no,42,yes,no,
3882,no,2605,yes,no,
3883,no,60,yes,yes,
3884,no,98,yes,no,
3885,no,-181,yes,no,
3886,no,118,yes,no,
3887,no,-15,yes,no,
3888,no,671,yes,no,
